                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4738,                  1.722,                 1.8611,                0.24151,                0.36916,                0.27979,                0.16146,                 1.5026,                 1.7688,                 1.9225,               0.000854,               0.000854,               0.000854
                     35,                 1.4741,                 1.6922,                 1.8726,                0.22523,                 0.3974,                0.26781,                0.15431,                 1.4152,                 1.7346,                 1.8178,             0.00084162,             0.00084162,             0.00084162
                     36,                  1.481,                 1.7059,                 1.8519,                0.29711,                0.40665,                0.31943,                0.19735,                  1.454,                 1.6127,                 1.8255,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.4582,                 1.6863,                 1.8489,                0.27994,                0.38924,                 0.3196,                0.19553,                 1.4274,                 1.6685,                 1.8531,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.4531,                 1.6746,                 1.8393,                0.30992,                 0.3874,                0.30771,                0.17448,                 1.4818,                 1.8321,                 1.8983,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.4542,                 1.6477,                 1.8296,                0.30905,                0.41503,                0.34779,                0.21787,                 1.4292,                 1.4945,                 1.8144,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.4364,                 1.6168,                 1.8159,                0.25983,                0.41187,                0.29644,                0.18409,                 1.4137,                 1.8131,                 1.8269,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.4236,                 1.5957,                 1.8085,                0.25843,                0.42063,                0.30578,                0.18406,                 1.4359,                  1.601,                 1.8128,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.4385,                 1.5874,                 1.8291,                0.28472,                0.43596,                0.31455,                0.18038,                 1.4376,                  1.545,                 1.8133,               0.000755,               0.000755,               0.000755
                     43,                 1.4438,                  1.628,                 1.8239,                 0.3126,                0.39733,                 0.3312,                0.19743,                 1.4374,                 1.5717,                  1.816,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.4228,                 1.5937,                 1.8009,                0.29932,                0.39998,                0.31924,                0.18873,                 1.4694,                 1.5305,                 1.8295,             0.00073025,             0.00073025,             0.00073025
